CustomerID,InvoiceDate,Recency,Frequency,Payment,Recency_RANK,PCNT_RANK,Ordered_Recency_Per,Frequency_RANK,Payement_RANK,Total_Rank,CLTV,Cluster,InvoiceDay,DayDiff1,DayDiff2,DayDiff3,NextPurchaseDay_TestPeriod,NextPurchaseDayRange,Average,Log
12888.0,2011-05-09 16:02:00,214,2,313.77,3322.0,0.8472328487630707,0.1527671512369293,0.5348125478194338,0.28207090028054066,0.3232168664456346,0,0,2011-05-09,6.0,32.0,3.0,999.0,3,13.666666666666666,2.614959778036198
13217.0,2011-08-09 15:32:00,122,3,133.62000000000003,2830.0,0.7217546544248916,0.2782453455751084,0.6534047436878347,0.08314205559806172,0.33826404828700163,1,0,2011-08-09,9.0,11.0,14.0,999.0,3,11.333333333333334,2.4277482359480516
13420.0,2011-07-13 08:48:00,149,2,140.35,2976.0,0.7589900535577658,0.24100994644223417,0.5348125478194338,0.09283346085182352,0.2895519850378305,0,0,2011-07-28,15.0,7.0,14.0,999.0,3,12.0,2.4849066497880004
15107.0,2011-02-01 14:46:00,311,6,247.65999999999997,3735.0,0.9525631216526397,0.04743687834736032,0.8385615914307575,0.21295587860239734,0.36631811612683834,1,0,2011-02-01,19.0,2.0,2.0,999.0,3,7.666666666666667,2.03688192726104
15646.0,2011-07-05 09:53:00,157,3,425.13999999999993,3024.0,0.7712318286151492,0.22876817138485084,0.6534047436878347,0.3838306554450395,0.42200119017257504,1,0,2011-07-05,85.0,4.0,126.0,999.0,3,71.66666666666667,4.272025739459553
15648.0,2011-05-19 15:53:00,204,2,599.9,3275.0,0.8352461106860495,0.16475388931395052,0.5348125478194338,0.4784493751593981,0.39267193743092754,1,0,2011-05-19,44.0,6.0,13.0,999.0,3,21.0,3.044522437723423
16112.0,2011-07-19 14:28:00,143,4,195.74,2948.0,0.7518490181076256,0.2481509818923744,0.7429227237949503,0.15761285386381024,0.3828955198503783,1,0,2011-07-19,12.0,178.0,5.0,999.0,3,65.0,4.174387269895637
16217.0,2011-04-18 13:31:00,235,2,259.39000000000004,3404.0,0.8681458811527671,0.13185411884723286,0.5348125478194338,0.2254526906401428,0.2973731191022698,0,0,2011-04-18,10.0,22.0,15.0,999.0,3,15.666666666666666,2.751535313041949
16297.0,2011-03-16 08:29:00,268,1,275.4000000000001,3579.0,0.9127773527161438,0.0872226472838562,0.34455496046926803,0.2389696505993369,0.22358241945082039,0,0,2011-05-11,37.0,17.0,2.0,999.0,3,18.666666666666668,2.9267394020670396
16342.0,2011-09-25 14:36:00,75,4,322.41,2451.0,0.6250956388676359,0.37490436113236414,0.7429227237949503,0.2920173425146646,0.4699481424806597,1,0,2011-09-25,32.0,38.0,34.0,999.0,3,34.666666666666664,3.545778610473263
16462.0,2011-09-27 10:24:00,73,3,102.0,2411.0,0.6148941596531498,0.38510584034685025,0.6534047436878347,0.046671767406273906,0.3617274504803196,1,0,2011-10-06,9.0,112.0,98.0,999.0,3,73.0,4.290459441148391
16473.0,2011-06-28 09:10:00,164,3,314.86,3057.0,0.7796480489671003,0.22035195103289973,0.6534047436878347,0.2836011221627136,0.3857859389611494,1,0,2011-06-28,118.0,5.0,49.0,999.0,3,57.333333333333336,4.048882188145344
